,original_amount,revised_amount,year,GDP_growth,inflation,manufacturing_value_added,official_exchange_rate,ENT  (ENTERTAIN),GENERAL,GS   (GEN SERV),HUD (GEN SERV-HUD),INS  (INSTRUCTOR),IT/TECH,LS   (LEASE SVCS),LW   (DON'T USE),PRO  (PRO SERVIC),RISK - HR / INS,RNT  (EQUIP RENT)
5973,5000.0,5000.0,2012,-2.76780251140578,1.23358439630637,10.6290647168458,1,0,0,1,0,0,0,0,0,0,0,0
5974,60054.15,54203.5,2022,2.70885669419681,1.64004344238989,11.9060850975322,1,0,0,1,0,0,0,0,0,0,0,0
5975,6150.0,6150.0,2010,2.06159311851432,8.00279982052117,10.70037081,1,0,0,1,0,0,0,0,0,0,0,0
5976,52165.5464613997,41319.151728231,2017,2.70636958176399,0.118627135552435,11.6623134302954,1,0,0,1,0,0,0,0,0,0,0,0
5977,3650.0,3650.0,2010,2.06159311851432,8.00279982052117,10.70037081,1,0,0,1,0,0,0,0,0,0,0,0
5978,15000.0,15866.88,2015,2.24192121597748,2.13011000365963,11.2588564739494,1,0,0,1,0,0,0,0,0,0,0,0
5979,2662.4,2662.4,2010,2.06159311851432,8.00279982052117,10.70037081,1,0,1,0,0,0,0,0,0,0,0,0
5980,17237.0,16824.5,2014,2.9453848312678,2.44258329692818,11.348073930706,1,0,0,0,0,0,0,0,0,0,0,0
5981,4417.9749421951,3608.69161487126,2010,2.06159311851432,8.00279982052117,10.70037081,1,0,1,0,0,0,0,0,0,0,0,0
5982,45000.0,87635.72,2012,-2.76780251140578,1.23358439630637,10.6290647168458,1,0,0,1,0,0,0,0,0,0,0,0
5983,16000.0,0.0,2021,1.54989495017045,3.15684156862206,11.9472468321556,1,0,0,0,0,0,0,0,0,0,0,0
5984,3112.5,0.0,2015,2.24192121597748,2.13011000365963,11.2588564739494,1,0,0,1,0,0,0,0,0,0,0,0
5985,2973.0,2726.75,2013,2.29443907769311,1.81221007526015,11.0580367745651,1,0,0,0,0,0,0,0,0,0,0,1
